wavelengths,fluxes,convolved_flux,filter_wavelengths,filter_trans
  1.472000E+02,  0.000000E+00,  0.000000E+00,  4.600000E+03,  0.000000E+00
  1.510000E+02,  0.000000E+00,  0.000000E+00,  4.800000E+03,  2.000000E-02
  1.552000E+02,  0.000000E+00,  0.000000E+00,  5.000000E+03,  3.800000E-01
  1.588000E+02,  0.000000E+00,  0.000000E+00,  5.200000E+03,  9.100000E-01
  1.620000E+02,  0.000000E+00,  0.000000E+00,  5.400000E+03,  9.800000E-01
  1.660000E+02,  0.000000E+00,  0.000000E+00,  5.600000E+03,  7.200000E-01
  1.703000E+02,  8.572822E-30,  0.000000E+00,  5.800000E+03,  6.200000E-01
  1.734000E+02,  4.785207E-29,  0.000000E+00,  6.000000E+03,  4.000000E-01
  1.768000E+02,  2.171779E-28,  0.000000E+00,  6.200000E+03,  2.000000E-01
  1.802000E+02,  8.232550E-28,  0.000000E+00,  6.400000E+03,  8.000000E-02
  1.817000E+02,  1.426912E-27,  0.000000E+00,  6.600000E+03,  2.000000E-02
  1.861000E+02,  6.494709E-27,  0.000000E+00,  6.800000E+03,  1.000000E-02
  1.910000E+02,  3.068717E-26,  0.000000E+00,  7.000000E+03,  1.000000E-02
  1.939000E+02,  7.291555E-26,  0.000000E+00,  7.200000E+03,  1.000000E-02
  1.984000E+02,  2.613575E-25,  0.000000E+00,  7.400000E+03,  0.000000E+00
  2.018000E+02,  6.532566E-25,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.050000E+02,  1.494262E-24,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.105000E+02,  5.770321E-24,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.162000E+02,  2.149716E-23,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.198000E+02,  4.740393E-23,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.230000E+02,  9.342047E-23,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.268000E+02,  2.032255E-22,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.300000E+02,  6.012353E-22,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.340000E+02,  1.500618E-21,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.400000E+02,  5.292971E-21,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.465000E+02,  1.769526E-20,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.524000E+02,  4.867313E-20,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.568000E+02,  9.848490E-20,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.600000E+02,  1.596401E-19,  0.000000E+00,  0.000000E+00,  0.000000E+00
  2.640000E+02,  2.884489E-19,  0.000000E+00,  0.000000E+00,  0.000000E+00
